Id,Label,name,support,confidence,lift,Modularity Class,In-Degree,Out-Degree,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality,PageRank,Clustering Coefficient,Reciprocated Vertex Pair Ratio,Dynamic Filter
n1188,.,r977,0.00230017,0.666667,4.47619,1,2,1,1393.38853,0.000215,0.00129,0.57885,0,0,
n185,sustainability,297,,,,1,2,12,4649.093726,0.000207,0.000119,2.501422,0,0,
n1187,.,r976,0.00230017,0.666667,4.47619,5,2,1,7543.860116,0.000205,0.001509,0.57907,0,0,
n67,entrepreneur,104,,,,5,0,10,3051.953845,0.000197,9.90E-05,1.792697,0,0,
n1186,.,r975,0.00230017,0.666667,4.47619,5,2,1,379.193292,0.000194,0.000512,0.57191,0,0,
n1185,.,r974,0.00230017,0.666667,4.47619,5,2,1,5178.905014,0.000222,0.000758,0.567474,0,0,
n107,investment,161,,,,5,2,25,3990.438733,0.000199,0.000356,4.351261,0,0,
n1184,.,r973,0.00230017,0.666667,4.47619,1,2,1,1114.896124,0.00019,0.000391,0.617453,0,0,
n1183,.,r972,0.00230017,0.666667,4.47619,6,2,1,1843.345486,0.000214,0.001268,0.599468,0,0,
n51,decision.making,84,,,,6,1,5,727.102061,0.000175,4.00E-05,1.217579,0,0,
n1182,.,r971,0.00230017,0.666667,4.47619,5,1,1,491.771006,0.000188,0.000363,0.532081,0,0,
n118,marketing,180,,,,5,0,2,14.512133,0.00017,1.80E-05,0.565167,0,0,
n1181,.,r970,0.00575043,0.666667,4.47619,2,3,1,19735.04007,0.000246,0.003082,0.69179,0,0,
n180,storytelling,291,,,,2,8,22,17428.78961,0.000221,0.000683,4.750579,0,0,
n1180,.,r969,0.00345026,0.666667,4.49354,2,3,1,2183.201589,0.000224,0.003422,0.685091,0,0,
n1179,.,r968,0.00460035,0.666667,4.49354,2,3,1,3068.48502,0.000225,0.003581,0.682988,0,0,
n143,performance,231,,,,2,13,40,13504.37323,0.000197,0.001248,8.261577,0,0,
n1178,.,r967,0.00230017,0.666667,4.49354,2,3,1,2989.61621,0.000224,0.003338,0.699205,0,0,
n154,poetry,242,,,,2,3,14,6059.500576,0.000185,0.000385,2.974288,0,0,
n1177,.,r966,0.00230017,0.666667,4.49354,2,2,1,6475.847449,0.000224,0.002198,0.555667,0,0,
n130,music,207,,,,2,44,58,66387.15663,0.000217,0.002758,15.870765,0,0,
n1176,.,r965,0.00920069,0.666667,4.49354,5,2,1,13271.74714,0.000207,0.002256,0.558947,0,0,
n1175,.,r964,0.00230017,0.666667,4.49354,4,2,1,1442.181976,0.000199,0.001909,0.581546,0,0,
n95,history,145,,,,4,2,4,2130.752065,0.000189,3.80E-05,1.161066,0,0,
n1174,.,r963,0.00230017,0.666667,4.49354,2,2,1,570.333095,0.000197,0.001365,0.574245,0,0,
n1173,.,r962,0.00230017,0.666667,4.49354,2,2,1,2127.87612,0.000218,0.002044,0.596979,0,0,
n188,TED.Prize,300,,,,2,0,4,51.711346,0.000176,7.60E-05,0.833319,0,0,
n1172,.,r961,0.00230017,0.666667,4.49354,11,2,1,3866.271768,0.000221,0.001439,0.604404,0,0,
n81,gaming,126,,,,11,0,3,9.420651,0.000181,5.70E-05,0.638802,0,0,
n48,dance,79,,,,3,0,1,0,0.000172,2.30E-05,0.354298,0,0,
n1171,.,r960,0.00345026,0.666667,4.49354,3,2,1,3469.223256,0.000218,0.002029,0.721052,0,0,
n1170,.,r959,0.00230017,0.666667,4.49354,2,2,1,528.915722,0.000187,0.001246,0.61196,0,0,
n114,literature,174,,,,2,0,4,85.011577,0.000174,5.20E-05,0.839719,0,0,
n1169,.,r958,0.00230017,0.666667,4.49354,9,2,1,4909.165333,0.000221,0.001439,0.623705,0,0,
n117,magic,178,,,,9,1,3,156.964055,0.000175,5.50E-05,0.942564,0,0,
n1168,.,r957,0.00230017,0.666667,4.49354,2,1,1,55.225559,0.000191,0.001898,0.417062,0,0,
n1167,.,r956,0.0362277,0.670213,4.51744,2,4,1,5736.738126,0.000241,0.003299,0.823168,0,0,
n173,social.change,277,,,,2,6,14,2904.512229,0.000207,0.000473,3.190383,0,0,
n1166,.,r955,0.00230017,1,4.60053,4,3,1,14766.81378,0.000251,0.002254,0.710231,0,0,
n155,politics,244,,,,4,34,34,61151.26888,0.000219,0.000667,11.939315,0,0,
n1165,.,r954,0.00230017,1,4.60053,4,3,1,4492.819827,0.000234,0.002072,0.714365,0,0,
n1164,.,r953,0.00230017,1,4.60053,5,3,1,2999.555899,0.000228,0.001531,0.721157,0,0,
n1163,.,r952,0.00230017,1,4.60053,4,3,1,10392.20353,0.000238,0.001745,0.71319,0,0,
n1162,.,r951,0.00230017,1,4.60053,1,3,1,15398.64198,0.000252,0.002107,0.714331,0,0,
n68,environment,105,,,,1,14,20,44566.44999,0.000223,0.000147,6.133666,0,0,
n1161,.,r950,0.00230017,1,4.60053,4,3,1,1835.5108,0.000231,0.002091,0.692575,0,0,
n1160,.,r949,0.00230017,1,4.60053,2,3,1,4077.923435,0.00023,0.0024,0.688075,0,0,
n1159,.,r948,0.00230017,1,4.60053,1,3,1,7190.193811,0.000232,0.001817,0.742649,0,0,
n62,education,98,,,,3,12,12,26983.89044,0.000202,9.30E-05,4.356206,0,0,
n35,collaboration,60,,,,1,4,7,7554.090625,0.000206,8.60E-05,2.148003,0,0,
n1158,.,r947,0.00230017,1,4.60053,4,3,1,12450.3351,0.00025,0.002163,0.702622,0,0,
n204,war,322,,,,4,18,18,17154.0833,0.000202,0.000346,5.998575,0,0,
n1157,.,r946,0.00230017,1,4.60053,7,3,1,8680.389563,0.000234,0.001887,0.725433,0,0,
n1156,.,r945,0.00287522,1,4.60053,5,3,1,3540.763983,0.000237,0.002304,0.699436,0,0,
n1155,.,r944,0.00230017,1,4.60053,4,3,1,2683.996951,0.000227,0.001593,0.713584,0,0,
n1154,.,r943,0.00287522,1,4.60053,5,3,1,1627.414716,0.000225,0.001524,0.707082,0,0,
n1153,.,r942,0.00287522,1,4.60053,5,3,1,1146.492472,0.000218,0.001223,0.709388,0,0,
n1152,.,r941,0.00287522,1,4.60053,5,3,1,3273.01595,0.000236,0.002181,0.707339,0,0,
n1151,.,r940,0.00230017,1,4.60053,3,3,1,2926.009951,0.000225,0.001317,0.722146,0,0,
n1150,.,r939,0.00230017,1,4.60053,5,3,1,1274.372425,0.000224,0.001463,0.707413,0,0,
n1149,.,r938,0.00287522,1,4.60053,1,3,1,3318.68535,0.000236,0.002158,0.716141,0,0,
n1148,.,r937,0.00230017,1,4.60053,4,3,1,3269.249802,0.000231,0.001902,0.70593,0,0,
n142,peace,230,,,,4,4,14,3613.120923,0.000186,0.000136,3.005213,0,0,
n1147,.,r936,0.00345026,1,4.60053,5,3,1,2813.614001,0.000236,0.002221,0.700104,0,0,
n1146,.,r935,0.00230017,1,4.60053,5,3,1,1372.887902,0.000224,0.001379,0.709202,0,0,
n1145,.,r934,0.00230017,1,4.60053,5,3,1,1073.177977,0.000224,0.001502,0.700178,0,0,
n1144,.,r933,0.00287522,1,4.60053,4,3,1,3114.642468,0.000231,0.001903,0.706066,0,0,
n201,violence,317,,,,4,2,15,3616.113246,0.000183,0.000141,2.84097,0,0,
n1143,.,r932,0.00230017,1,4.60053,5,3,1,1555.704233,0.000219,0.00121,0.725112,0,0,
n10,Asia,20,,,,5,4,10,1596.848708,0.000174,0.000133,2.402065,0,0,
n1142,.,r931,0.00230017,1,4.60053,5,3,1,1271.53398,0.000224,0.00143,0.71863,0,0,
n192,third.world,306,,,,5,0,8,588.123754,0.000188,8.90E-05,1.452117,0,0,
n1141,.,r930,0.00230017,1,4.60053,5,3,1,2706.723386,0.000236,0.002224,0.701253,0,0,
n1140,.,r929,0.00230017,1,4.60053,5,3,1,1060.80122,0.000224,0.001506,0.701327,0,0,
n1139,.,r928,0.00287522,1,4.60053,5,3,1,902.412547,0.000223,0.001422,0.701996,0,0,
